Fips,Location,Coverage Type,Race / Ethnicity,TimeFrame,Data Type,Data,MOE
1,Alabama,Insured,Hispanic / Latino,2012,Percent,0.64365,0.035439
1,Alabama,Insured,Hispanic / Latino,2012,Number,117952,
1,Alabama,Public,Hispanic / Latino,2012,Percent,0.29925,0.040375
1,Alabama,Public,Hispanic / Latino,2012,Number,54839,
1,Alabama,Private,Hispanic / Latino,2012,Percent,0.3444,0.04963
1,Alabama,Private,Hispanic / Latino,2012,Number,63113,
1,Alabama,Medicare,Hispanic / Latino,2012,Percent,0.03645,0.012006
1,Alabama,Medicare,Hispanic / Latino,2012,Number,6679,
1,Alabama,Employer,Hispanic / Latino,2012,Percent,0.31424,0.04856
1,Alabama,Employer,Hispanic / Latino,2012,Number,57586,
1,Alabama,Medicaid/CHIP,Hispanic / Latino,2012,Percent,0.2628,0.039312
1,Alabama,Medicaid/CHIP,Hispanic / Latino,2012,Number,48160,
1,Alabama,Individual,Hispanic / Latino,2012,Percent,0.03016,0.013972
1,Alabama,Individual,Hispanic / Latino,2012,Number,5527,
1,Alabama,Uninsured,Hispanic / Latino,2012,Percent,0.35635,0.035439
1,Alabama,Uninsured,Hispanic / Latino,2012,Number,65303,
1,Alabama,Insured,White,2012,Percent,0.8957,0.005779
1,Alabama,Insured,White,2012,Number,2850017,
1,Alabama,Public,White,2012,Percent,0.2869,0.005927
1,Alabama,Public,White,2012,Number,912876,
1,Alabama,Private,White,2012,Percent,0.6088,0.008122
1,Alabama,Private,White,2012,Number,1937141,
1,Alabama,Medicare,White,2012,Percent,0.20358,0.002881
1,Alabama,Medicare,White,2012,Number,647767,
1,Alabama,Employer,White,2012,Percent,0.54952,0.009139
1,Alabama,Employer,White,2012,Number,1748504,
1,Alabama,Medicaid/CHIP,White,2012,Percent,0.08332,0.005047
1,Alabama,Medicaid/CHIP,White,2012,Number,265109,
1,Alabama,Individual,White,2012,Percent,0.05929,0.005082
1,Alabama,Individual,White,2012,Number,188637,
1,Alabama,Uninsured,White,2012,Percent,0.1043,0.005779
1,Alabama,Uninsured,White,2012,Number,331867,
1,Alabama,Insured,African-American / Black,2012,Percent,0.83152,0.010235
1,Alabama,Insured,African-American / Black,2012,Number,1028359,
1,Alabama,Public,African-American / Black,2012,Percent,0.39149,0.013061
1,Alabama,Public,African-American / Black,2012,Number,484161,
1,Alabama,Private,African-American / Black,2012,Percent,0.44003,0.017005
1,Alabama,Private,African-American / Black,2012,Number,544198,
1,Alabama,Medicare,African-American / Black,2012,Percent,0.14674,0.005484
1,Alabama,Medicare,African-American / Black,2012,Number,181471,
1,Alabama,Employer,African-American / Black,2012,Percent,0.41076,0.017047
1,Alabama,Employer,African-American / Black,2012,Number,507996,
1,Alabama,Medicaid/CHIP,African-American / Black,2012,Percent,0.24475,0.012963
1,Alabama,Medicaid/CHIP,African-American / Black,2012,Number,302690,
1,Alabama,Individual,African-American / Black,2012,Percent,0.02927,0.004365
1,Alabama,Individual,African-American / Black,2012,Number,36202,
1,Alabama,Uninsured,African-American / Black,2012,Percent,0.16848,0.010235
1,Alabama,Uninsured,African-American / Black,2012,Number,208361,
1,Alabama,Insured,Asian,2012,Percent,0.86798,0.047517
1,Alabama,Insured,Asian,2012,Number,50559,
1,Alabama,Public,Asian,2012,Percent,0.14548,0.047056
1,Alabama,Public,Asian,2012,Number,8474,
1,Alabama,Private,Asian,2012,Percent,0.7225,0.069318
1,Alabama,Private,Asian,2012,Number,42085,
1,Alabama,Medicare,Asian,2012,Percent,0.06525,0.022153
1,Alabama,Medicare,Asian,2012,Number,3801,
1,Alabama,Employer,Asian,2012,Percent,0.63409,0.079118
1,Alabama,Employer,Asian,2012,Number,36935,
1,Alabama,Medicaid/CHIP,Asian,2012,Percent,0.08023,0.040564
1,Alabama,Medicaid/CHIP,Asian,2012,Number,4673,
1,Alabama,Individual,Asian,2012,Percent,0.08841,0.041818
1,Alabama,Individual,Asian,2012,Number,5150,
1,Alabama,Uninsured,Asian,2012,Percent,0.13202,0.047517
1,Alabama,Uninsured,Asian,2012,Number,7690,
1,Alabama,Insured,Other / Multiple Races,2012,Percent,0.85583,0.029902
1,Alabama,Insured,Other / Multiple Races,2012,Number,81151,
1,Alabama,Public,Other / Multiple Races,2012,Percent,0.40295,0.046578
1,Alabama,Public,Other / Multiple Races,2012,Number,38208,
1,Alabama,Private,Other / Multiple Races,2012,Percent,0.45289,0.057161
1,Alabama,Private,Other / Multiple Races,2012,Number,42943,
1,Alabama,Medicare,Other / Multiple Races,2012,Percent,0.12408,0.025721
1,Alabama,Medicare,Other / Multiple Races,2012,Number,11765,
1,Alabama,Employer,Other / Multiple Races,2012,Percent,0.42674,0.053456
1,Alabama,Employer,Other / Multiple Races,2012,Number,40464,
1,Alabama,Medicaid/CHIP,Other / Multiple Races,2012,Percent,0.27887,0.045445
1,Alabama,Medicaid/CHIP,Other / Multiple Races,2012,Number,26443,
1,Alabama,Individual,Other / Multiple Races,2012,Percent,0.02614,0.017812
1,Alabama,Individual,Other / Multiple Races,2012,Number,2479,
1,Alabama,Uninsured,Other / Multiple Races,2012,Percent,0.14417,0.029902
1,Alabama,Uninsured,Other / Multiple Races,2012,Number,13670,
