Location,White,African-American,Latino,Asian-American,Native American
United States,78.9,74.6,82.8,86.5,76.9
Alabama,76,72.9,NSD,85.3,NSD
Alaska,79.4,NSD,NSD,NSD,70.5
Arizona,79.8,76.5,80.8,86.7,72.7
Arkansas,76.3,72.2,NSD,NSD,NSD
California,79.8,75.1,83.2,86.3,80.2
Colorado,80.2,76.7,79.4,87.4,NSD
Connecticut,81,77.8,83.1,89.1,NSD
Delaware,78.6,75.4,NSD,NSD,NSD
District of Columbia,84.3,71.6,NSD,NSD,NSD
Florida,79.1,75.8,83.1,88.9,NSD
Georgia,77.6,74.7,NSD,88,NSD
Hawaii,80.4,NSD,76.8,82,NSD
Idaho,79.4,NSD,83.4,NSD,NSD
Illinois,79.3,73.7,85.3,87.9,NSD
Indiana,77.7,73.8,85.9,88.1,NSD
Iowa,79.8,75.3,NSD,NSD,NSD
Kansas,78.8,73.6,83.5,NSD,NSD
Kentucky,76,73.5,NSD,NSD,NSD
Louisiana,76.7,72.4,NSD,85.6,NSD
Maine,79.1,NSD,NSD,NSD,NSD
Maryland,79.4,75.5,NSD,88.2,NSD
Massachusetts,80.4,78.8,87.1,89.1,NSD
Michigan,79,73.4,80,88.7,75.3
Minnesota,81.2,79.7,87.3,83.5,70.2
Mississippi,76.1,72.4,NSD,NSD,NSD
Missouri,77.7,74.2,NSD,NSD,NSD
Montana,79.1,NSD,NSD,NSD,69.2
Nebraska,80,73.9,85.5,NSD,NSD
Nevada,76.7,75.9,84.7,88.1,NSD
New Hampshire,80.1,NSD,NSD,NSD,NSD
New Jersey,80.3,75.5,84.7,89.4,NSD
New Mexico,79,NSD,78.8,NSD,74.8
New York,80.5,77.4,83.5,88.6,NSD
North Carolina,78.3,74.7,NSD,88.9,76.6
North Dakota,80.2,NSD,NSD,NSD,NSD
Ohio,78.1,73.9,85.3,87,NSD
Oklahoma,76,72.8,85,NSD,73.8
Oregon,79.2,77.2,85.4,86.2,NSD
Pennsylvania,78.9,73.4,85.3,89,NSD
Rhode Island,79.7,NSD,NSD,NSD,NSD
South Carolina,77.8,74,83.2,NSD,NSD
South Dakota,80.4,NSD,NSD,NSD,68.2
Tennessee,76.7,72.9,NSD,84.2,NSD
Texas,78,74.4,80.7,88.1,NSD
Utah,80.1,NSD,82.1,84.6,NSD
Vermont,80.4,NSD,NSD,NSD,NSD
Virginia,79.4,75.3,88.3,87.2,NSD
Washington,79.7,77.5,85.4,85.4,73.8
West Virginia,75.4,72.8,NSD,NSD,NSD
Wisconsin,80.3,74,86,86.4,NSD
Wyoming,78.4,NSD,NSD,NSD,NSD
